Name,Quantity,Avg Price,Last Traded,Investment,Current Value,P&L,P&L %
AIA Engineering,25,"3,973.55","3,736.20","99,338.80","93,405.00","-5,933.80",-5.97%
Axis Bank,143,"1,308.33","1,228.10","1,87,091.10","1,75,618.30","-13,389.00",-7.16%
Bharti Airtel,74,"2,012.09","1,827.00","1,48,894.40","1,35,198.00","-16,523.20",-11.10%
City Union Bank,694,276.86,240.05,"1,92,142.01","1,66,594.70","-23,812.31",-12.39%
Coal India,156,431.5,462.25,"67,314.00","72,111.00","4,492.80",6.67%
Federal Bank,1160,275.75,264.55,"3,19,867.46","3,06,878.00","-17,281.46",-5.40%
HCL Technologies,76,"1,632.60","1,321.10","1,24,077.60","1,00,403.60","-23,674.00",-19.08%
Hindustan Copper,372,564.57,493.15,"2,10,020.50","1,83,451.80","-32,371.90",-15.41%
ICICI Bank,121,"1,352.34","1,288.70","1,63,633.10","1,55,932.70","-9,612.20",-5.87%
Larsen & Toubro,40,"3,913.67","3,542.80","1,56,546.90","1,41,712.00","-17,770.90",-11.35%
NALCO,354,352.5,395.15,"1,24,783.69","1,39,883.10","6,992.81",5.60%
Reliance Industries,146,"1,358.33","1,397.60","1,98,315.45","2,04,049.60","5,734.15",2.89%
HDFC Nifty 50 ETF,1102,272.64,264.35,"3,00,453.45","2,91,313.70","-9,139.75",-3.04%
HDFC Nifty Midcap 150 ETF,24182,20.82,20.65,"5,03,407.09","4,99,358.30","-4,048.79",-0.80%
HDFC Nifty Small Cap 250 ETF,2060,161.49,150.17,"3,32,675.00","3,09,350.20","-23,324.80",-7.01%
ICICI Pru Gold ETF,1760,142.65,132.57,"2,51,068.00","2,33,323.20","-17,744.80",-7.07%
ICICI Pru Nifty Metal ETF,8600,8.72,11.67,"74,992.00","1,00,362.00","25,370.00",33.83%
ICICI Pru Silver ETF,737,340.15,251.1,"2,50,688.27","1,85,060.70","-71,125.59",-28.37%
Nippon Auto ETF (AUTOBEES),972,256.34,258.78,"2,49,159.50","2,51,534.16","2,374.66",0.95%
Nippon Nifty Bank ETF (BANKBEES),575,607.53,566.86,"3,49,331.13","3,25,944.50","-26,232.88",-7.51%
Nippon Nifty IT ETF (ITBEES),4176,41.92,31.7,"1,75,057.92","1,32,379.20","-42,678.72",-24.38%
